run_id,algorithm_name,input_size,execution_time_ns,memory_kb,trial_number,date_run
30,Binary Search,10000,2500,0.0,2,2026-08-19T09:16:47.095651700
31,Linear Search,10000,263600,0.0,3,2026-08-19T09:16:47.095651700
32,Binary Search,10000,2500,0.0,3,2026-08-19T09:16:47.095651700
33,Selection Sort,100,711100,0.0,1,2026-08-19T09:16:47.095651700
34,Insertion Sort,100,160100,0.0,1,2026-08-19T09:16:47.095651700
35,Merge Sort,100,70000,0.0,1,2026-08-19T09:16:47.095651700
36,Quick Sort,100,81600,0.0,1,2026-08-19T09:16:47.095651700
37,Selection Sort,100,217000,0.0,2,2026-08-19T09:16:47.095651700
38,Insertion Sort,100,123200,0.0,2,2026-08-19T09:16:47.095651700
39,Merge Sort,100,59600,0.0,2,2026-08-19T09:16:47.095651700
40,Quick Sort,100,47700,0.0,2,2026-08-19T09:16:47.095651700
41,Selection Sort,100,197400,0.0,3,2026-08-19T09:16:47.095651700
42,Insertion Sort,100,119200,0.0,3,2026-08-19T09:16:47.095651700
43,Merge Sort,100,59300,0.0,3,2026-08-19T09:16:47.095651700
44,Quick Sort,100,47700,0.0,3,2026-08-19T09:16:47.095651700
45,Selection Sort,500,2377600,0.0,1,2026-08-19T09:16:47.095651700
46,Insertion Sort,500,2369700,0.0,1,2026-08-19T09:16:47.095651700
47,Merge Sort,500,95600,0.0,1,2026-08-19T09:16:47.095651700
48,Quick Sort,500,259200,0.0,1,2026-08-19T09:16:47.095651700
49,Selection Sort,500,910600,0.0,2,2026-08-19T09:16:47.095651700
50,Insertion Sort,500,755100,0.0,2,2026-08-19T09:16:47.095651700
51,Merge Sort,500,94700,0.0,2,2026-08-19T09:16:47.095651700
52,Quick Sort,500,77500,0.0,2,2026-08-19T09:16:47.095651700
53,Selection Sort,500,873800,0.0,3,2026-08-19T09:16:47.095651700
54,Insertion Sort,500,710100,0.0,3,2026-08-19T09:16:47.095651700
55,Merge Sort,500,88600,0.0,3,2026-08-19T09:16:47.095651700
56,Quick Sort,500,82300,0.0,3,2026-08-19T09:16:47.095651700
57,Selection Sort,1000,16929500,0.0,1,2026-08-19T09:16:47.095651700
58,Insertion Sort,1000,10851000,0.0,1,2026-08-19T09:16:47.095651700
59,Merge Sort,1000,607000,0.0,1,2026-08-19T09:16:47.095651700
60,Quick Sort,1000,1118800,0.0,1,2026-08-19T09:16:47.095651700
61,Selection Sort,1000,17002100,0.0,2,2026-08-19T09:16:47.095651700
62,Insertion Sort,1000,7959000,0.0,2,2026-08-19T09:16:47.095651700
63,Merge Sort,1000,677000,0.0,2,2026-08-19T09:16:47.095651700
64,Quick Sort,1000,668600,0.0,2,2026-08-19T09:16:47.095651700
